samplename,superkingdom,kingdom,subkingdom,phylum,class,subclass,order,suborder,family,subfamily,tribe,genus,species
M01895:175:000000000-CJJKT:1:2107:5464:13136__kiwi2019__AG0320-596__515f,Bacteria,,,Acidobacteria,,,,,,,,,
M01895:175:000000000-CJJKT:1:2112:5352:15931__kiwi2019__AG0320-276__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,,,,,
M01895:175:000000000-CJJKT:1:2114:10238:12706__kiwi2019__AG0320-293__515f,Bacteria,,,Acidobacteria,Acidobacteriia,,Acidobacteriales,,Acidobacteriaceae,,,Acidobacterium,uncultured Acidobacterium sp.
M01895:175:000000000-CJJKT:1:1101:25916:14850__kiwi2019__AG0320-292__515f,Bacteria,,,Proteobacteria,Deltaproteobacteria,,Myxococcales,Nannocystineae,Kofleriaceae,,,Haliangium,uncultured Haliangium sp.
M01895:175:000000000-CJJKT:1:1107:13903:20495__kiwi2019__AG0320-761__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Oceanospirillales,,Halomonadaceae,,,Zymobacter,Zymobacter palmae
M01895:175:000000000-CJJKT:1:1107:8004:17920__kiwi2019__AG0320-021__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1110:10647:5994__kiwi2019__AG0320-293__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1112:23505:6894__kiwi2019__AG0320-083__515f,Eukaryota,Fungi,,Microsporidia,,,,Apansporoblastina,Nosematidae,,,Nosema,
M01895:175:000000000-CJJKT:1:1114:2081:15510__kiwi2019__AG0320-292__515f,Bacteria,,,Verrucomicrobia,,,,,,,,,
M01895:175:000000000-CJJKT:1:2105:13935:12517__kiwi2019__AG0320-079__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,,,,,
M01895:175:000000000-CJJKT:1:2107:17009:16769__kiwi2019__AG0320-619__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Hypocreomycetidae,Hypocreales,,Nectriaceae,,,Fusarium,
M01895:175:000000000-CJJKT:1:2108:12141:12849__kiwi2019__AG0320-292__515f,Bacteria,,,Acidobacteria,Acidobacteriia,,Acidobacteriales,,Acidobacteriaceae,,,,
M01895:175:000000000-CJJKT:1:2111:22749:10562__kiwi2019__AG0320-055__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:2112:9132:26439__kiwi2019__AG0320-029__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,,,,,
M01895:175:000000000-CJJKT:1:1102:18682:21783__kiwi2019__AG0320-542__515f,Bacteria,,,Bacteroidetes,Sphingobacteriia,,Sphingobacteriales,,Sphingobacteriaceae,,,Mucilaginibacter,
M01895:175:000000000-CJJKT:1:1102:3797:12696__kiwi2019__AG0320-107__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1104:13509:26936__kiwi2019__AG0320-244__515f,Eukaryota,Fungi,,Mucoromycota,,,Mucorales,,,,,,
M01895:175:000000000-CJJKT:1:1113:7837:4762__kiwi2019__AG0320-036__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:2101:14796:7988__kiwi2019__AG0320-021__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:2105:7889:11356__kiwi2019__AG0320-110__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2111:16367:16417__kiwi2019__AG0320-315__515f,Bacteria,,,Actinobacteria,Acidimicrobiia,,Acidimicrobiales,,,,,,
M01895:175:000000000-CJJKT:1:2113:16327:11027__kiwi2019__AG0320-050__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,Hyphomicrobiaceae,,,Rhodomicrobium,uncultured Rhodomicrobium sp.
M01895:175:000000000-CJJKT:1:1101:17735:11504__kiwi2019__AG0320-002__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,Clostridiaceae,,,Clostridium,
M01895:175:000000000-CJJKT:1:1104:10016:21348__kiwi2019__AG0320-274__515f,Bacteria,,,Bacteroidetes,Flavobacteriia,,Flavobacteriales,,Flavobacteriaceae,,,,
M01895:175:000000000-CJJKT:1:1104:20926:7797__kiwi2019__AG0320-652__515f,Bacteria,,,Firmicutes,Bacilli,,Lactobacillales,,Enterococcaceae,,,Enterococcus,
M01895:175:000000000-CJJKT:1:1108:10328:14960__kiwi2019__AG0320-196__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,Xanthobacteraceae,,,,
M01895:175:000000000-CJJKT:1:1111:7428:22034__kiwi2019__AG0320-106__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1114:13368:8928__kiwi2019__AG0320-475__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2108:16148:15053__kiwi2019__AG0320-293__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2109:25737:17136__kiwi2019__AG0320-673__515f,Bacteria,,,Firmicutes,Bacilli,,Bacillales,,Staphylococcaceae,,,Salinicoccus,
M01895:175:000000000-CJJKT:1:1101:5502:18314__kiwi2019__AG0320-067__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1102:25606:13315__kiwi2019__AG0320-066__515f,,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1103:20479:22826__kiwi2019__AG0320-696__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,Rhodospirillaceae,,,,
M01895:175:000000000-CJJKT:1:1103:4440:22072__kiwi2019__AG0320-289__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1106:3050:10374__kiwi2019__AG0320-762__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Sphingomonadales,,Sphingomonadaceae,,,Sphingomonas,
M01895:175:000000000-CJJKT:1:1108:7307:12473__kiwi2019__AG0320-097__515f,Bacteria,,,Actinobacteria,Acidimicrobiia,,Acidimicrobiales,,Acidimicrobiaceae,,,Ilumatobacter,uncultured Ilumatobacter sp.
M01895:175:000000000-CJJKT:1:1111:11564:20881__kiwi2019__AG0320-113__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Lecanoromycetes,,,,,,,,
M01895:175:000000000-CJJKT:1:1112:13166:3693__kiwi2019__AG0320-422__515f,Bacteria,,,Firmicutes,Bacilli,,Bacillales,,Bacillaceae,,,,
M01895:175:000000000-CJJKT:1:1114:17364:26358__kiwi2019__AG0320-021__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1114:7637:17986__kiwi2019__AG0320-022__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,,,,,,,
M01895:175:000000000-CJJKT:1:2102:5663:15360__kiwi2019__AG0320-010__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2104:12263:11325__kiwi2019__AG0320-753__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,Acetobacteraceae,,,,
M01895:175:000000000-CJJKT:1:2104:4101:14153__kiwi2019__AG0320-315__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,,,,,
M01895:175:000000000-CJJKT:1:2107:16184:21031__kiwi2019__AG0320-097__515f,Bacteria,,,Actinobacteria,Thermoleophilia,,Solirubrobacterales,,Conexibacteraceae,,,Conexibacter,uncultured Conexibacter sp.
M01895:175:000000000-CJJKT:1:2109:24778:20399__kiwi2019__AG0320-204__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,Brucellaceae,,,,
M01895:175:000000000-CJJKT:1:2111:6091:14830__kiwi2019__AG0320-040__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:2113:19641:19131__kiwi2019__AG0320-293__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1101:20991:24105__kiwi2019__AG0320-770__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,Acetobacteraceae,,,,
M01895:175:000000000-CJJKT:1:1101:3042:18381__kiwi2019__AG0320-092__515f,Bacteria,,,Firmicutes,Bacilli,,Bacillales,,Paenibacillaceae,,,Paenibacillus,
M01895:175:000000000-CJJKT:1:1102:16650:7734__kiwi2019__AG0320-001__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,Clostridiaceae,,,Butyricicoccus,uncultured Butyricicoccus sp.
M01895:175:000000000-CJJKT:1:1105:16803:29028__kiwi2019__AG0320-058__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,Phyllobacteriaceae,,,,
M01895:175:000000000-CJJKT:1:1107:17644:26885__kiwi2019__AG0320-289__515f,Bacteria,,,Planctomycetes,Planctomycetia,,Planctomycetales,,Isosphaeraceae,,,,
M01895:175:000000000-CJJKT:1:1108:22440:3921__kiwi2019__AG0320-187__515f,Bacteria,,,Firmicutes,Bacilli,,Bacillales,,Paenibacillaceae,,,Paenibacillus,
M01895:175:000000000-CJJKT:1:1109:16390:3015__kiwi2019__AG0320-100__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,Alcaligenaceae,,,,
M01895:175:000000000-CJJKT:1:1109:6430:15147__kiwi2019__AG0320-053__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1111:7803:10815__kiwi2019__AG0320-292__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1114:6143:14017__kiwi2019__AG0320-668__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,,,,,
M01895:175:000000000-CJJKT:1:2101:24657:10021__kiwi2019__AG0320-095__515f,Bacteria,,,Firmicutes,Bacilli,,Bacillales,,Bacillaceae,,,,
M01895:175:000000000-CJJKT:1:2103:20881:17074__kiwi2019__AG0320-592__515f,Bacteria,,,Bacteroidetes,Cytophagia,,Cytophagales,,Hymenobacteraceae,,,Hymenobacter,
M01895:175:000000000-CJJKT:1:2107:19588:17399__kiwi2019__AG0320-621__515f,Bacteria,,,Bacteroidetes,Sphingobacteriia,,Sphingobacteriales,,Sphingobacteriaceae,,,,
M01895:175:000000000-CJJKT:1:2109:9615:11597__kiwi2019__AG0320-094__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:2114:6590:14823__kiwi2019__AG0320-029__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,Barnesiellaceae,,,Barnesiella,
M01895:175:000000000-CJJKT:1:1102:6414:9417__kiwi2019__AG0320-489__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:1103:19091:21681__kiwi2019__AG0320-014__515f,Bacteria,,,Actinobacteria,,,,,,,,,
M01895:175:000000000-CJJKT:1:1107:13785:15941__kiwi2019__AG0320-728__515f,Bacteria,,,Bacteroidetes,Cytophagia,,Cytophagales,,Hymenobacteraceae,,,,
M01895:175:000000000-CJJKT:1:1108:19486:24869__kiwi2019__AG0320-084__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,,,,,,,
M01895:175:000000000-CJJKT:1:1110:9776:14556__kiwi2019__AG0320-112__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1111:24136:9547__kiwi2019__AG0320-515__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Arthoniomycetes,,Arthoniales,,,,,,
M01895:175:000000000-CJJKT:1:1112:19752:3576__kiwi2019__AG0320-454__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:1114:10056:4149__kiwi2019__AG0320-241__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Sphingomonadales,,Sphingomonadaceae,,,,
M01895:175:000000000-CJJKT:1:2102:19317:23054__kiwi2019__AG0320-292__515f,Bacteria,,,Acidobacteria,Holophagae,,Holophagales,,Holophagaceae,,,Holophaga,uncultured Holophaga sp.
M01895:175:000000000-CJJKT:1:2103:26775:20015__kiwi2019__AG0320-727__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2106:20258:22218__kiwi2019__AG0320-049__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2108:19261:24460__kiwi2019__AG0320-009__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2113:17703:13978__kiwi2019__AG0320-083__515f,Eukaryota,Fungi,,Microsporidia,,,,,,,,,
M01895:175:000000000-CJJKT:1:1101:2060:16805__kiwi2019__AG0320-331__515f,Bacteria,,,Proteobacteria,Deltaproteobacteria,,Myxococcales,Nannocystineae,Kofleriaceae,,,,
M01895:175:000000000-CJJKT:1:1102:9077:7591__kiwi2019__AG0320-004__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1104:6791:21194__kiwi2019__AG0320-308__515f,Bacteria,,,Proteobacteria,,,,,,,,,
M01895:175:000000000-CJJKT:1:1105:27087:21863__kiwi2019__AG0320-456__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,Hyphomicrobiaceae,,,Pedomicrobium,uncultured Pedomicrobium sp.
M01895:175:000000000-CJJKT:1:1106:17162:9845__kiwi2019__AG0320-078__515f,Bacteria,,,Proteobacteria,Epsilonproteobacteria,,Campylobacterales,,Helicobacteraceae,,,Helicobacter,
M01895:175:000000000-CJJKT:1:1107:25110:6729__kiwi2019__AG0320-092__515f,Bacteria,,,Firmicutes,Bacilli,,Bacillales,,Paenibacillaceae,,,Paenibacillus,
M01895:175:000000000-CJJKT:1:1108:13676:24432__kiwi2019__AG0320-292__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1110:15609:9925__kiwi2019__AG0320-312__515f,Bacteria,,,Proteobacteria,Deltaproteobacteria,,Myxococcales,Cystobacterineae,,,,,
M01895:175:000000000-CJJKT:1:1110:18726:9028__kiwi2019__AG0320-504__515f,Bacteria,,,Proteobacteria,Oligoflexia,,Bdellovibrionales,,Bdellovibrionaceae,,,Bdellovibrio,uncultured Bdellovibrio sp.
M01895:175:000000000-CJJKT:1:1111:26474:6789__kiwi2019__AG0320-275__515f,Eukaryota,Fungi,Dikarya,Basidiomycota,Ustilaginomycetes,,Ustilaginales,,Ustilaginaceae,,,Farysia,
M01895:175:000000000-CJJKT:1:1114:15109:9612__kiwi2019__AG0320-611__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1114:17889:4229__kiwi2019__AG0320-218__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,Acetobacteraceae,,,,
M01895:175:000000000-CJJKT:1:1114:7761:12637__kiwi2019__AG0320-095__515f,Bacteria,,,Actinobacteria,Acidimicrobiia,,Acidimicrobiales,,Acidimicrobiaceae,,,Aciditerrimonas,uncultured Aciditerrimonas sp.
M01895:175:000000000-CJJKT:1:2101:9379:25805__kiwi2019__AG0320-043__515f,Bacteria,,,Bacteroidetes,,,,,,,,,
M01895:175:000000000-CJJKT:1:2103:21947:8091__kiwi2019__AG0320-289__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,,,,,,,
M01895:175:000000000-CJJKT:1:2104:11467:9142__kiwi2019__AG0320-806__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Sphingomonadales,,Sphingomonadaceae,,,Sphingomonas,
M01895:175:000000000-CJJKT:1:2105:16232:26011__kiwi2019__AG0320-130__515f,Bacteria,,,Firmicutes,Bacilli,,Bacillales,,Bacillaceae,,,Bacillus,
M01895:175:000000000-CJJKT:1:2107:23661:18048__kiwi2019__AG0320-771__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,,,,,,,
M01895:175:000000000-CJJKT:1:2109:6150:22435__kiwi2019__AG0320-292__515f,,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1101:22391:20429__kiwi2019__AG0320-354__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:1102:6945:9434__kiwi2019__AG0320-243__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1103:16951:4867__kiwi2019__AG0320-317__515f,Bacteria,,,Proteobacteria,Deltaproteobacteria,,Myxococcales,Sorangiineae,Polyangiaceae,,,,
M01895:175:000000000-CJJKT:1:1104:5596:7908__kiwi2019__AG0320-736__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Pseudomonadales,,Moraxellaceae,,,Psychrobacter,
M01895:175:000000000-CJJKT:1:1106:12395:10693__kiwi2019__AG0320-074__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1107:18252:23579__kiwi2019__AG0320-315__515f,Bacteria,,,Bacteroidetes,,,,,,,,,
M01895:175:000000000-CJJKT:1:1108:22049:7423__kiwi2019__AG0320-035__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1108:4745:11384__kiwi2019__AG0320-726__515f,Bacteria,,,Firmicutes,Bacilli,,Lactobacillales,,Lactobacillaceae,,,Lactobacillus,
M01895:175:000000000-CJJKT:1:1109:15235:12546__kiwi2019__AG0320-293__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1111:24489:15797__kiwi2019__AG0320-638__515f,Bacteria,,,Firmicutes,Tissierellia,,Tissierellales,,Peptoniphilaceae,,,Helcococcus,
M01895:175:000000000-CJJKT:1:1112:21059:19087__kiwi2019__AG0320-057__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1114:22075:7155__kiwi2019__AG0320-539__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,,,,,,,
M01895:175:000000000-CJJKT:1:2102:14479:15486__kiwi2019__AG0320-013__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,,,,,
M01895:175:000000000-CJJKT:1:2103:7756:16001__kiwi2019__AG0320-677__515f,Bacteria,,,Verrucomicrobia,,,,,,,,,
M01895:175:000000000-CJJKT:1:2105:10033:25546__kiwi2019__AG0320-030__515f,Bacteria,,,Actinobacteria,,,,,,,,,
M01895:175:000000000-CJJKT:1:2110:15487:28665__kiwi2019__AG0320-289__515f,Bacteria,,,Chloroflexi,Ktedonobacteria,,Ktedonobacterales,,,,,,
M01895:175:000000000-CJJKT:1:2110:21163:3629__kiwi2019__AG0320-312__515f,Bacteria,,,Bacteroidetes,Chitinophagia,,Chitinophagales,,Chitinophagaceae,,,,
M01895:175:000000000-CJJKT:1:2112:10025:12460__kiwi2019__AG0320-651__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Micrococcales,,Micrococcaceae,,,Kocuria,
M01895:175:000000000-CJJKT:1:2113:11929:20948__kiwi2019__AG0320-255__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2114:15407:13624__kiwi2019__AG0320-042__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,,,,,
M01895:175:000000000-CJJKT:1:2114:7109:18211__kiwi2019__AG0320-600__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Hypocreomycetidae,Hypocreales,,Clavicipitaceae,,,,
M01895:175:000000000-CJJKT:1:1101:4369:9271__kiwi2019__AG0320-590__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:1102:17965:5507__kiwi2019__AG0320-078__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,,,,Reyranella,
M01895:175:000000000-CJJKT:1:1104:18703:2660__kiwi2019__AG0320-296__515f,Bacteria,,,Firmicutes,Tissierellia,,Tissierellales,,Peptoniphilaceae,,,Anaerococcus,
M01895:175:000000000-CJJKT:1:1104:5639:21633__kiwi2019__AG0320-289__515f,Bacteria,,,Proteobacteria,Deltaproteobacteria,,Myxococcales,Sorangiineae,,,,,
M01895:175:000000000-CJJKT:1:1105:24215:20753__kiwi2019__AG0320-312__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,,,,,,,
M01895:175:000000000-CJJKT:1:1108:9141:25819__kiwi2019__AG0320-006__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1109:23088:9866__kiwi2019__AG0320-052__515f,Bacteria,,,Firmicutes,Bacilli,,Bacillales,,Bacillaceae,,,Bacillus,
M01895:175:000000000-CJJKT:1:1109:4516:10238__kiwi2019__AG0320-513__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Capnodiales,,Teratosphaeriaceae,,,,
M01895:175:000000000-CJJKT:1:1110:27821:12050__kiwi2019__AG0320-619__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,Acetobacteraceae,,,,
M01895:175:000000000-CJJKT:1:1112:12163:21970__kiwi2019__AG0320-012__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1112:15883:13767__kiwi2019__AG0320-292__515f,Bacteria,,,Planctomycetes,Planctomycetia,,Planctomycetales,,Isosphaeraceae,,,Singulisphaera,uncultured Singulisphaera sp.
M01895:175:000000000-CJJKT:1:1113:24452:15526__kiwi2019__AG0320-026__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,Clostridiaceae,,,Clostridium,
M01895:175:000000000-CJJKT:1:1114:22671:13099__kiwi2019__AG0320-056__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Xanthomonadales,,Xanthomonadaceae,,,,
M01895:175:000000000-CJJKT:1:2101:9020:25547__kiwi2019__AG0320-276__515f,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,,
M01895:175:000000000-CJJKT:1:2103:19044:5732__kiwi2019__AG0320-064__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2104:9399:26263__kiwi2019__AG0320-755__515f,Archaea,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2106:26630:13861__kiwi2019__AG0320-176__515f,Bacteria,,,Bacteroidetes,Cytophagia,,Cytophagales,,Cytophagaceae,,,Dyadobacter,
M01895:175:000000000-CJJKT:1:2108:12300:10694__kiwi2019__AG0320-049__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,Odoribacteraceae,,,Butyricimonas,
M01895:175:000000000-CJJKT:1:2108:19333:9041__kiwi2019__AG0320-289__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,,,,,,,
M01895:175:000000000-CJJKT:1:2110:12354:4035__kiwi2019__AG0320-049__515f,Bacteria,,,Firmicutes,,,,,,,,,
M01895:175:000000000-CJJKT:1:2111:14561:15698__kiwi2019__AG0320-167__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,Acetobacteraceae,,,,
M01895:175:000000000-CJJKT:1:2113:13416:16056__kiwi2019__AG0320-326__515f,Bacteria,,,Verrucomicrobia,Opitutae,,Opitutales,,Opitutaceae,,,,
M01895:175:000000000-CJJKT:1:2113:14809:16277__kiwi2019__AG0320-289__515f,Bacteria,,,Firmicutes,Bacilli,,,,,,,,
M01895:175:000000000-CJJKT:1:1101:18087:25243__kiwi2019__AG0320-058__515f,Bacteria,,,Actinobacteria,Actinobacteria,,,,,,,,
M01895:175:000000000-CJJKT:1:1101:25397:8449__kiwi2019__AG0320-527__515f,Bacteria,,,Acidobacteria,,,,,,,,,
M01895:175:000000000-CJJKT:1:1102:11232:3922__kiwi2019__AG0320-018__515f,Bacteria,,,Actinobacteria,Acidimicrobiia,,Acidimicrobiales,,Acidimicrobiaceae,,,,
M01895:175:000000000-CJJKT:1:1104:23974:23479__kiwi2019__AG0320-736__515f,Bacteria,,,Verrucomicrobia,Verrucomicrobiae,,Verrucomicrobiales,,Verrucomicrobiaceae,,,,
M01895:175:000000000-CJJKT:1:1105:20899:3177__kiwi2019__AG0320-182__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1106:10729:24481__kiwi2019__AG0320-420__515f,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,Tremellaceae,,,Tremella,
M01895:175:000000000-CJJKT:1:1106:17937:8083__kiwi2019__AG0320-004__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1106:5741:23165__kiwi2019__AG0320-611__515f,Bacteria,,,Tenericutes,Mollicutes,,Acholeplasmatales,,Acholeplasmataceae,,,Acholeplasma,
M01895:175:000000000-CJJKT:1:1107:17472:15523__kiwi2019__AG0320-046__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Micromonosporales,,Micromonosporaceae,,,Actinoplanes,
M01895:175:000000000-CJJKT:1:1107:6492:10539__kiwi2019__AG0320-292__515f,Bacteria,,,Verrucomicrobia,Opitutae,,Opitutales,,Opitutaceae,,,Opitutus,
M01895:175:000000000-CJJKT:1:1109:18515:2466__kiwi2019__AG0320-030__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Micromonosporales,,Micromonosporaceae,,,,
M01895:175:000000000-CJJKT:1:1110:21981:6001__kiwi2019__AG0320-735__515f,Bacteria,,,Proteobacteria,Deltaproteobacteria,,Myxococcales,,,,,Enhygromyxa,
M01895:175:000000000-CJJKT:1:1111:12210:22275__kiwi2019__AG0320-289__515f,Bacteria,,,Chlamydiae,Chlamydiia,,Parachlamydiales,,Simkaniaceae,,,Simkania,uncultured Simkania sp.
M01895:175:000000000-CJJKT:1:1113:22631:18062__kiwi2019__AG0320-444__515f,Eukaryota,Fungi,Dikarya,Basidiomycota,Microbotryomycetes,,Sporidiobolales,,Sporidiobolaceae,,,Rhodosporidiobolus,
M01895:175:000000000-CJJKT:1:2102:24157:6903__kiwi2019__AG0320-668__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Chaetothyriomycetidae,,,,,,,
M01895:175:000000000-CJJKT:1:2107:13632:13415__kiwi2019__AG0320-106__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:2107:24169:8522__kiwi2019__AG0320-034__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2111:10284:11413__kiwi2019__AG0320-292__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,,,,,
M01895:175:000000000-CJJKT:1:2111:20826:18172__kiwi2019__AG0320-018__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Micromonosporales,,Micromonosporaceae,,,Actinoplanes,
M01895:175:000000000-CJJKT:1:2112:21154:13701__kiwi2019__AG0320-105__515f,Eukaryota,Viridiplantae,,Streptophyta,,rosids,Fabales,,Fabaceae,Papilionoideae,Fabeae,,
M01895:175:000000000-CJJKT:1:2113:17414:28585__kiwi2019__AG0320-293__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2113:28309:16583__kiwi2019__AG0320-289__515f,Bacteria,,,Chloroflexi,Ktedonobacteria,,Ktedonobacterales,,,,,,
M01895:175:000000000-CJJKT:1:1101:11592:3334__kiwi2019__AG0320-293__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,,,,,
